memory_size,lambda_dis,L1_mean,L1_std,MAE,MAPE
8,0.0,2.7989875567250473,0.12663778375029852,2.7989875567250473,6.884514540433884
8,0.1,2.8474859123523055,0.15957175733481813,2.8474859123523055,6.9406017661094666
8,1.0,3.0450333836811603,0.20659751782133137,3.0450333836811603,7.761944085359573
8,10.0,2.896839821814164,0.14998804095408116,2.896839821814164,7.210290431976318
8,100.0,2.8662971863564293,0.1578349743374471,2.8662971863564293,7.193546742200851
16,0.0,3.0093062071506282,0.17838721743080888,3.0093062071506282,7.353758811950684
16,0.1,2.738370521967728,0.18593080121576167,2.738370521967728,6.7339107394218445
16,1.0,2.8460336225983545,0.13556977676964926,2.8460336225983545,6.713545322418213
16,10.0,2.835023860039601,0.17752709867249844,2.835023860039601,7.076019048690796
16,100.0,2.8318434909498755,0.16750534850230767,2.8318434909498755,6.7754290997982025
32,0.0,2.7691704600133393,0.151771022494726,2.7691704600133393,6.871793419122696
32,0.1,2.801059009243465,0.15293000169410806,2.801059009243465,6.807752698659897
32,1.0,2.7917003473899555,0.12542791796358352,2.7917003473899555,6.679088622331619
32,10.0,2.742351590041164,0.12576604432519906,2.742351590041164,6.627607345581055
32,100.0,2.774361365461102,0.11503195769871592,2.774361365461102,6.6501714289188385
64,0.0,2.7425625236114373,0.14446830946645256,2.7425625236114373,6.762658059597015
64,0.1,2.7483444067345353,0.13563692471384997,2.7483444067345353,6.525091081857681
64,1.0,2.7118365335416117,0.15332596620737857,2.7118365335416117,6.5359726548194885
64,10.0,2.6996796681617594,0.12289160089041998,2.6996796681617594,6.429120898246765
64,100.0,2.7457919893080374,0.15838983039653642,2.7457919893080374,6.621157377958298
128,0.0,2.7117965288989736,0.16513509236759483,2.7117965288989736,6.509244441986084
128,0.1,2.696922075409004,0.11235110680658944,2.696922075409004,6.463999301195145
128,1.0,2.6560664249184627,0.125357919309763,2.6560664249184627,6.432536989450455
128,10.0,2.7668983781507825,0.13914392261875122,2.7668983781507825,6.664819270372391
128,100.0,2.7525151937950274,0.15648989399511098,2.7525151937950274,6.580273061990738
