memory_size,lambda_dis,L1_mean,L1_std,MAE,MAPE
8,0.0,14.292415976524353,0.26597402116749436,1.632184031419456,3.4364670515060425
8,0.1,14.351114571094513,0.22142257285304368,1.7425582241266966,3.5012930631637573
8,1.0,14.288400791585445,0.20403919857926667,1.6866593407467008,3.449752926826477
8,10.0,14.27878276258707,0.21827624167781323,1.6103409649804235,3.386734426021576
8,100.0,14.27541209757328,0.29961945046670735,1.5753270778805017,3.3420786261558533
16,0.0,14.322216935455799,0.2028649599524215,1.5943858306854963,3.41063030064106
16,0.1,14.316525749862194,0.26910376886371523,1.6028344230726361,3.400968015193939
16,1.0,14.339056573808193,0.26191130210645497,1.5928398538380861,3.4001924097537994
16,10.0,14.267278455197811,0.23534260515589267,1.5769970128312707,3.3136405050754547
16,100.0,14.28865710645914,0.27332277700770646,1.558862579986453,3.3231068402528763
32,0.0,14.499126456677914,0.28533582587260753,1.665546491742134,3.5444267094135284
32,0.1,14.337105594575405,0.26538000989239663,1.6476711733266711,3.4651853144168854
32,1.0,14.29785831272602,0.2549752474296838,1.6083220187574625,3.372589498758316
32,10.0,14.314928136765957,0.227241565939039,1.586950832977891,3.3868804574012756
32,100.0,14.301994189620018,0.295233343844302,1.674728101119399,3.4329142421483994
64,0.0,14.295392215251923,0.2356524809729308,1.6440914748236537,3.40152308344841
64,0.1,14.333683915436268,0.23896641610190272,1.6326271388679743,3.398057073354721
64,1.0,14.293627873063087,0.25864194601308554,1.5956468749791384,3.3570580184459686
64,10.0,14.375245496630669,0.25632970745209605,1.6179251167923212,3.417924791574478
64,100.0,14.282418452203274,0.318984346347861,1.5955123407766223,3.3782534301280975
128,0.0,14.343557015061378,0.24601433635689318,1.6179722426459193,3.407813608646393
128,0.1,14.31531136482954,0.2137572339270264,1.5754788760095835,3.3508744090795517
128,1.0,14.289804302155972,0.2598839377751574,1.6368050090968609,3.404555469751358
128,10.0,14.35548809915781,0.26044865092262626,1.659193366765976,3.4221362322568893
128,100.0,14.349917605519295,0.25742135918699205,1.7712813541293144,3.6092955619096756
