memory_size,lambda_dis,L1_mean,L1_std,MAE,MAPE
8,0.0,5.155995637178421,0.7166348490864038,4.033751524984837,12.398906797170639
8,0.1,5.258934199810028,0.7450433634221554,4.133370481431484,12.555430829524994
8,1.0,5.214124470949173,0.7150663156062365,4.090417958796024,12.334980070590973
8,10.0,5.328095704317093,0.7096664793789387,4.177698828279972,12.944811582565308
8,100.0,5.207363739609718,0.8010426163673401,4.072367697954178,12.95560896396637
16,0.0,5.314477235078812,0.8019560296088457,4.204969145357609,12.262312322854996
16,0.1,5.119687542319298,0.742255337536335,4.005615971982479,12.243637442588806
16,1.0,5.218873098492622,0.7517014164477587,4.090617969632149,12.794026732444763
16,10.0,5.138609558343887,0.7419378496706486,4.022483117878437,12.287779152393341
16,100.0,5.096923857927322,0.7925083208829165,3.9817168936133385,12.001952528953552
32,0.0,5.1841796934604645,0.7672856375575066,4.065292477607727,12.91133314371109
32,0.1,5.082129314541817,0.845471816137433,3.9592082425951958,12.103242427110672
32,1.0,5.045386776328087,0.6320103164762259,4.003118313848972,12.034770846366882
32,10.0,5.182049721479416,0.7130122277885675,4.038778394460678,12.735642492771149
32,100.0,5.217494145035744,0.6067462358623743,4.075395241379738,12.861233949661255
64,0.0,5.250129550695419,0.6740726996213198,4.126560725271702,12.701912224292755
64,0.1,5.264375954866409,0.8243292756378651,4.164260029792786,12.764209508895874
64,1.0,5.1267387717962265,0.56674400344491,4.0757835283875465,12.502118945121765
64,10.0,5.115265399217606,0.6264481507241726,4.063623286783695,12.53766417503357
64,100.0,5.208669677376747,0.6606957037001848,4.085094332695007,12.362014502286911
128,0.0,5.241202339529991,0.930568864569068,4.1221388429403305,12.44627982378006
128,0.1,5.238903909921646,0.9947792533785105,4.117620475590229,12.550126016139984
128,1.0,5.094370394945145,0.652383454144001,3.977546915411949,12.202783674001694
128,10.0,5.1015400141477585,0.6988260615617037,3.9727938547730446,12.236550450325012
128,100.0,5.229227244853973,0.7729718647897243,4.102555252611637,12.623314559459686
