memory_size,lambda_dis,L1_mean,L1_std,MAE,MAPE
8,0.0,2.893657028200642,0.17078328573324014,2.893657028200642,7.424161583185196
8,0.1,2.874268111402063,0.15820355877925296,2.874268111402063,7.274863123893738
8,1.0,2.8621094276293637,0.1669339753748564,2.8621094276293637,7.247157394886017
8,10.0,2.8698512351762515,0.1644166567186275,2.8698512351762515,7.231232523918152
8,100.0,2.9044607062367143,0.1382572572190311,2.9044607062367143,7.327502220869064
16,0.0,2.9547868497408674,0.16238880774535794,2.9547868497408674,7.451043277978897
16,0.1,2.955477535957323,0.18069275014511726,2.955477535957323,7.3986247181892395
16,1.0,2.904535260343449,0.14763066510203587,2.904535260343449,7.120067626237869
16,10.0,2.8962609667578105,0.1700177612861676,2.8962609667578105,7.296927273273468
16,100.0,2.9406997603537293,0.15558460901029939,2.9406997603537293,7.173825800418854
32,0.0,2.8803082063094605,0.18477905770458403,2.8803082063094605,7.245088368654251
32,0.1,2.826841395292745,0.1403538736426309,2.826841395292745,7.037217915058136
32,1.0,2.9062018173878936,0.14343324616296926,2.9062018173878936,7.41131529211998
32,10.0,2.867144254357743,0.22101248616872776,2.867144254357743,7.315182685852051
32,100.0,2.8742947811638215,0.20928080270805016,2.8742947811638215,7.185163348913193
64,0.0,2.9024947205034333,0.15853676032690736,2.9024947205034333,7.319020479917526
64,0.1,2.9102256176932384,0.18586369115474527,2.9102256176932384,7.189282029867172
64,1.0,2.8795481180993376,0.1493372457307107,2.8795481180993376,7.22329244017601
64,10.0,2.851984010125291,0.15161077662506783,2.851984010125291,7.179898768663406
64,100.0,2.910918122302541,0.11392377037870599,2.910918122302541,7.146134227514267
128,0.0,2.8732537512588086,0.16386647923280126,2.8732537512588086,7.218669354915619
128,0.1,2.8269459528814584,0.1639392338882808,2.8269459528814584,6.9938525557518005
128,1.0,2.855536846683215,0.13304658621985133,2.855536846683215,7.138790190219879
128,10.0,2.8736310677745993,0.15337877536631553,2.8736310677745993,7.21852034330368
128,100.0,2.930544945498627,0.1563701073663027,2.930544945498627,7.132963836193085
